feature,ic,abs_ic
High,0.9955785951120677,0.9955785951120677
Open,0.9954237882106861,0.9954237882106861
Low,0.9953955288439591,0.9953955288439591
MA_5,0.9953253822220488,0.9953253822220488
EMA_12,0.9951950919115449,0.9951950919115449
MA_10,0.99506390888579,0.99506390888579
EMA_26,0.9947683908196384,0.9947683908196384
MA_20,0.9945604514115349,0.9945604514115349
MA_60,0.9929062622469175,0.9929062622469175
MACD_signal,0.26711963425645235,0.26711963425645235
Volume,0.2556949751065104,0.2556949751065104
MACD,0.2507682040809154,0.2507682040809154
Close_to_MA_60,0.1000434975929397,0.1000434975929397
Close_to_EMA_26,0.06998967015444295,0.06998967015444295
STOCH_K_14,0.058010653331310384,0.058010653331310384
Close_to_MA_20,0.052571475048607756,0.052571475048607756
Close_to_EMA_12,0.05081851357649278,0.05081851357649278
RSI_14,0.044874400407948864,0.044874400407948864
RSI_12,0.04178505864886021,0.04178505864886021
Close_to_MA_10,0.03974196035468081,0.03974196035468081
RSI_6,0.032615163937822225,0.032615163937822225
Close_to_MA_5,0.028015523633448502,0.028015523633448502
HL_range_pct,-0.025720288200678506,0.025720288200678506
LogReturn_1d,0.014958966569296829,0.014958966569296829
Return_1d,0.014892706529407131,0.014892706529407131
OC_change_pct,-0.002215565614323177,0.002215565614323177
Volatility_10,0.0008160061601611748,0.0008160061601611748
MACD_hist,-0.00040513754069095373,0.00040513754069095373
