index,threshold_bps,cost_bps,samples,trades,long_days,short_days,cash_days,predicted_return_mean_pct,actual_return_mean_pct,pearson_ic,spearman_ic,active_hit_rate_pct,strategy_cc_total_return_pct,benchmark_cc_total_return_pct,strategy_oc_total_return_pct,benchmark_oc_total_return_pct,strategy_oc_sharpe,benchmark_oc_sharpe,strategy_oc_max_drawdown_pct,benchmark_oc_max_drawdown_pct,strategy_oc_win_rate_pct,avg_trade_oc_return_pct
Nasdaq,0.0,0.0,102,102,102,0,0,0.1525391258936181,0.15253318423041512,0.07426261853780217,0.0008877529671870671,59.80392156862745,16.05117622055092,16.05117622055092,12.90716319652876,12.90716319652876,2.1649368249258627,2.1649368249258627,-8.999790822341868,-8.999790822341868,54.90196078431373,0.12311648448076956
Nasdaq,5.0,0.0,102,102,102,0,0,0.1525391258936181,0.15253318423041512,0.07426261853780217,0.0008877529671870671,59.80392156862745,16.05117622055092,16.05117622055092,12.90716319652876,12.90716319652876,2.1649368249258627,2.1649368249258627,-8.999790822341868,-8.999790822341868,54.90196078431373,0.12311648448076956
Nasdaq,10.0,0.0,102,102,102,0,0,0.1525391258936181,0.15253318423041512,0.07426261853780217,0.0008877529671870671,59.80392156862745,16.05117622055092,16.05117622055092,12.90716319652876,12.90716319652876,2.1649368249258627,2.1649368249258627,-8.999790822341868,-8.999790822341868,54.90196078431373,0.12311648448076956
Nasdaq,15.0,0.0,102,43,43,0,59,0.1525391258936181,0.15253318423041512,0.07426261853780217,0.0008877529671870671,55.81395348837209,3.3260124070829677,16.05117622055092,6.8317808495319765,12.90716319652876,1.5535273256815947,2.1649368249258627,-8.999790822341836,-8.999790822341868,53.48837209302325,0.159240525963463
Nasdaq,20.0,0.0,102,0,0,0,102,0.1525391258936181,0.15253318423041512,0.07426261853780217,0.0008877529671870671,,0.0,16.05117622055092,0.0,12.90716319652876,,2.1649368249258627,0.0,-8.999790822341868,,
Nasdaq,50.0,0.0,102,0,0,0,102,0.1525391258936181,0.15253318423041512,0.07426261853780217,0.0008877529671870671,,0.0,16.05117622055092,0.0,12.90716319652876,,2.1649368249258627,0.0,-8.999790822341868,,
SP500,0.0,0.0,102,102,102,0,0,0.09181553844298704,0.10357581745946327,-0.10338232870219057,-0.16815850631322413,56.86274509803921,10.730591218476304,10.730591218476304,8.14758812700569,8.14758812700569,1.9200768753698765,1.9200768753698765,-7.0221429740777825,-7.0221429740777825,57.84313725490197,0.07892751926740248
SP500,5.0,0.0,102,102,102,0,0,0.09181553844298704,0.10357581745946327,-0.10338232870219057,-0.16815850631322413,56.86274509803921,10.730591218476304,10.730591218476304,8.14758812700569,8.14758812700569,1.9200768753698765,1.9200768753698765,-7.0221429740777825,-7.0221429740777825,57.84313725490197,0.07892751926740248
SP500,10.0,0.0,102,25,25,0,77,0.09181553844298704,0.10357581745946327,-0.10338232870219057,-0.16815850631322413,52.0,-0.07629710455104854,10.730591218476304,0.43281366347704964,8.14758812700569,0.18460009040158942,1.9200768753698765,-7.022142974077772,-7.0221429740777825,52.0,0.021358225711180623
SP500,15.0,0.0,102,0,0,0,102,0.09181553844298704,0.10357581745946327,-0.10338232870219057,-0.16815850631322413,,0.0,10.730591218476304,0.0,8.14758812700569,,1.9200768753698765,0.0,-7.0221429740777825,,
SP500,20.0,0.0,102,0,0,0,102,0.09181553844298704,0.10357581745946327,-0.10338232870219057,-0.16815850631322413,,0.0,10.730591218476304,0.0,8.14758812700569,,1.9200768753698765,0.0,-7.0221429740777825,,
SP500,50.0,0.0,102,0,0,0,102,0.09181553844298704,0.10357581745946327,-0.10338232870219057,-0.16815850631322413,,0.0,10.730591218476304,0.0,8.14758812700569,,1.9200768753698765,0.0,-7.0221429740777825,,
SOX,0.0,0.0,102,102,102,0,0,0.09216733918749255,0.6140614536047788,0.016765115118303805,0.06676241581896625,66.66666666666666,81.12601772020491,81.12601772020491,32.013892810532155,32.013892810532155,2.5436605493717304,2.5436605493717304,-10.46711487871037,-10.46711487871037,61.76470588235294,0.2887242826273938
SOX,5.0,0.0,102,99,99,0,3,0.09216733918749255,0.6140614536047788,0.016765115118303805,0.06676241581896625,65.65656565656566,70.62873908408092,81.12601772020491,27.19032611518979,32.013892810532155,2.2309772810120982,2.5436605493717304,-10.46711487871037,-10.46711487871037,60.60606060606061,0.2596113564111353
SOX,10.0,0.0,102,29,29,0,73,0.09216733918749255,0.6140614536047788,0.016765115118303805,0.06676241581896625,72.41379310344827,33.25194736895747,81.12601772020491,13.61790525206008,32.013892810532155,2.0359843673439815,2.5436605493717304,-4.425551052003662,-10.46711487871037,65.51724137931035,0.4584588764562986
SOX,15.0,0.0,102,0,0,0,102,0.09216733918749255,0.6140614536047788,0.016765115118303805,0.06676241581896625,,0.0,81.12601772020491,0.0,32.013892810532155,,2.5436605493717304,0.0,-10.46711487871037,,
SOX,20.0,0.0,102,0,0,0,102,0.09216733918749255,0.6140614536047788,0.016765115118303805,0.06676241581896625,,0.0,81.12601772020491,0.0,32.013892810532155,,2.5436605493717304,0.0,-10.46711487871037,,
SOX,50.0,0.0,102,0,0,0,102,0.09216733918749255,0.6140614536047788,0.016765115118303805,0.06676241581896625,,0.0,81.12601772020491,0.0,32.013892810532155,,2.5436605493717304,0.0,-10.46711487871037,,
