forecast_base_date,date,index,ticker,horizon_trading_days,actual_close,predicted_close,naive_previous_close,actual_log_return,predicted_log_return,absolute_error,pct_error,target_open,target_raw_close,predicted_return,actual_close_to_close_return,actual_open_to_close_return,signal,trade_cost,strategy_close_to_close_return,strategy_open_to_close_return,benchmark_close_to_close_return,benchmark_open_to_close_return,strategy_close_to_close_equity,strategy_open_to_close_equity,benchmark_close_to_close_equity,benchmark_open_to_close_equity,threshold_bps,cost_bps
2025-12-31,2026-01-02,SOX,^SOX,1,7367.4707,7090.7183,7083.13,0.03935856,0.0010707281,276.75244,3.7564106,7288.669921875,7367.47021484375,0.0010713201649554804,0.040143368821410785,0.01081134058935107,0,0.0,0.0,0.0,0.040143368821410785,0.01081134058935107,1.0,1.0,1.0401433688214108,1.010811340589351,50.0,2.0
2026-01-02,2026-01-05,SOX,^SOX,1,7446.4507,7375.114,7367.47,0.01066308,0.0010369981,71.336914,0.95799893,7570.43994140625,7446.4501953125,0.001037533915984712,0.01072019295633364,-0.01637814275701366,0,0.0,0.0,-0.0,0.01072019295633364,-0.01637814275701366,1.0,1.0,1.0512939064374272,0.9942561281527703,50.0,2.0
2026-01-05,2026-01-06,SOX,^SOX,1,7650.9307,7453.9814,7446.45,0.027089832,0.0010108905,196.94922,2.5741863,7542.60986328125,7650.93017578125,0.0010114081206480385,0.02746015886764841,0.014361118295050934,0,0.0,0.0,0.0,0.02746015886764841,0.014361118295050934,1.0,1.0,1.0801626041247896,1.0085347580247517,50.0,2.0
2026-01-06,2026-01-07,SOX,^SOX,1,7574.87,7658.3516,7650.93,-0.009991024,0.00096947956,83.481445,1.1020842,7554.77978515625,7574.8701171875,0.0009700258661364813,-0.009941275112960168,0.002659287577213565,0,0.0,-0.0,0.0,-0.009941275112960168,0.002659287577213565,1.0,1.0,1.0694244105104536,1.011216741977955,50.0,2.0
2026-01-07,2026-01-08,SOX,^SOX,1,7436.1,7582.173,7574.87,-0.01848967,0.00096359605,146.07275,1.9643731,7543.25,7436.10009765625,0.0009641089550052051,-0.018319786346168265,-0.014204739647201148,0,0.0,-0.0,-0.0,-0.018319786346168265,-0.014204739647201148,1.0,1.0,1.0498327837965251,0.9968526714312671,50.0,2.0
2026-01-08,2026-01-09,SOX,^SOX,1,7638.7793,7443.378,7436.1,0.026891297,0.0009782427,195.40137,2.5580182,7471.330078125,7638.77978515625,0.0009787388550448473,0.027256128884764808,0.02241230213098455,0,0.0,0.0,0.0,0.027256128884764808,0.02241230213098455,1.0,1.0,1.0784471614591347,1.0191944346834638,50.0,2.0
2026-01-09,2026-01-12,SOX,^SOX,1,7674.84,7646.134,7638.78,0.0047095804,0.00096232095,28.706055,0.37402806,7574.240234375,7674.83984375,0.0009627191776697686,0.004720649108889141,0.01328180863850048,0,0.0,0.0,0.0,0.004720649108889141,0.01328180863850048,1.0,1.0,1.0835381320908608,1.0327311801303543,50.0,2.0
2026-01-12,2026-01-13,SOX,^SOX,1,7747.9897,7682.2295,7674.84,0.009486006,0.000962442,65.760254,0.8487396,7725.080078125,7747.990234375,0.000962821374777878,0.009531104231488952,0.00296568527682628,0,0.0,0.0,0.0,0.009531104231488952,0.00296568527682628,1.0,1.0,1.0938654469666116,1.0357939357861863,50.0,2.0
2026-01-13,2026-01-14,SOX,^SOX,1,7701.47,7755.385,7747.99,-0.006022252,0.0009539317,53.91455,0.7000553,7688.5,7701.47021484375,0.0009544410873014719,-0.006004137847364199,0.0016869629763607286,0,0.0,-0.0,0.0,-0.006004137847364199,0.0016869629763607286,1.0,1.0,1.0872977280365554,1.0375412818069965,50.0,2.0
2026-01-14,2026-01-15,SOX,^SOX,1,7837.3003,7708.917,7701.47,0.01748317,0.0009663851,128.3833,1.6381062,7960.9599609375,7837.2998046875,0.000966958256021222,0.017636931650710785,-0.015533322219527634,0,0.0,0.0,-0.0,0.017636931650710785,-0.015533322219527634,1.0,1.0,1.1064743237499093,1.0214248187606267,50.0,2.0
