index,threshold_bps,cost_bps,samples,trades,long_days,short_days,cash_days,predicted_return_mean_pct,actual_return_mean_pct,pearson_ic,spearman_ic,active_hit_rate_pct,strategy_cc_total_return_pct,benchmark_cc_total_return_pct,strategy_oc_total_return_pct,benchmark_oc_total_return_pct,strategy_oc_sharpe,benchmark_oc_sharpe,strategy_oc_max_drawdown_pct,benchmark_oc_max_drawdown_pct,strategy_oc_win_rate_pct,avg_trade_oc_return_pct
Nasdaq,0.0,2.0,102,102,102,0,0,0.1525391258936181,0.15253318423041512,0.07426261853780217,0.0008877529671870671,59.80392156862745,13.710718340036854,16.05117622055092,10.629560246974412,12.90716319652876,1.813247636584228,2.1649368249258627,-9.274134502827746,-8.999790822341868,53.92156862745098,0.10311648448076954
Nasdaq,5.0,2.0,102,102,102,0,0,0.1525391258936181,0.15253318423041512,0.07426261853780217,0.0008877529671870671,59.80392156862745,13.710718340036854,16.05117622055092,10.629560246974412,12.90716319652876,1.813247636584228,2.1649368249258627,-9.274134502827746,-8.999790822341868,53.92156862745098,0.10311648448076954
Nasdaq,10.0,2.0,102,102,102,0,0,0.1525391258936181,0.15253318423041512,0.07426261853780217,0.0008877529671870671,59.80392156862745,13.710718340036854,16.05117622055092,10.629560246974412,12.90716319652876,1.813247636584228,2.1649368249258627,-9.274134502827746,-8.999790822341868,53.92156862745098,0.10311648448076954
Nasdaq,15.0,2.0,102,43,43,0,59,0.1525391258936181,0.15253318423041512,0.07426261853780217,0.0008877529671870671,55.81395348837209,2.441721402860919,16.05117622055092,5.918225588414305,12.90716319652876,1.3605372046066457,2.1649368249258627,-9.27413450282778,-8.999790822341868,51.162790697674424,0.13924052596346298
Nasdaq,20.0,2.0,102,0,0,0,102,0.1525391258936181,0.15253318423041512,0.07426261853780217,0.0008877529671870671,,0.0,16.05117622055092,0.0,12.90716319652876,,2.1649368249258627,0.0,-8.999790822341868,,
Nasdaq,50.0,2.0,102,0,0,0,102,0.1525391258936181,0.15253318423041512,0.07426261853780217,0.0008877529671870671,,0.0,16.05117622055092,0.0,12.90716319652876,,2.1649368249258627,0.0,-8.999790822341868,,
SP500,0.0,2.0,102,102,102,0,0,0.09181553844298704,0.10357581745946327,-0.10338232870219057,-0.16815850631322413,56.86274509803921,8.496482455671849,10.730591218476304,5.96512638562352,8.14758812700569,1.433535072664853,1.9200768753698765,-7.30204478684775,-7.0221429740777825,55.88235294117647,0.05892751926740251
SP500,5.0,2.0,102,102,102,0,0,0.09181553844298704,0.10357581745946327,-0.10338232870219057,-0.16815850631322413,56.86274509803921,8.496482455671849,10.730591218476304,5.96512638562352,8.14758812700569,1.433535072664853,1.9200768753698765,-7.30204478684775,-7.0221429740777825,55.88235294117647,0.05892751926740251
SP500,10.0,2.0,102,25,25,0,77,0.09181553844298704,0.10357581745946327,-0.10338232870219057,-0.16815850631322413,52.0,-0.5747647978423642,10.730591218476304,-0.06808107899644034,8.14758812700569,0.011741664630766318,1.9200768753698765,-7.302044786847805,-7.0221429740777825,52.0,0.0013582257111805999
SP500,15.0,2.0,102,0,0,0,102,0.09181553844298704,0.10357581745946327,-0.10338232870219057,-0.16815850631322413,,0.0,10.730591218476304,0.0,8.14758812700569,,1.9200768753698765,0.0,-7.0221429740777825,,
SP500,20.0,2.0,102,0,0,0,102,0.09181553844298704,0.10357581745946327,-0.10338232870219057,-0.16815850631322413,,0.0,10.730591218476304,0.0,8.14758812700569,,1.9200768753698765,0.0,-7.0221429740777825,,
SP500,50.0,2.0,102,0,0,0,102,0.09181553844298704,0.10357581745946327,-0.10338232870219057,-0.16815850631322413,,0.0,10.730591218476304,0.0,8.14758812700569,,1.9200768753698765,0.0,-7.0221429740777825,,
SOX,0.0,2.0,102,102,102,0,0,0.09216733918749255,0.6140614536047788,0.016765115118303805,0.06676241581896625,66.66666666666666,77.48807035649772,81.12601772020491,29.354583133963686,32.013892810532155,2.3674605757342952,2.5436605493717304,-10.719517448854942,-10.46711487871037,61.76470588235294,0.26872428262739395
SOX,5.0,2.0,102,99,99,0,3,0.09216733918749255,0.6140614536047788,0.016765115118303805,0.06676241581896625,65.65656565656566,67.30001448558754,81.12601772020491,24.70206790271532,32.013892810532155,2.0591989303088787,2.5436605493717304,-10.719517448854942,-10.46711487871037,60.60606060606061,0.23961135641113526
SOX,10.0,2.0,102,29,29,0,73,0.09216733918749255,0.6140614536047788,0.016765115118303805,0.06676241581896625,72.41379310344827,32.48854621347832,81.12601772020491,12.96352922833508,32.013892810532155,1.9506496854048114,2.5436605493717304,-4.445551052003671,-10.46711487871037,65.51724137931035,0.4384588764562986
SOX,15.0,2.0,102,0,0,0,102,0.09216733918749255,0.6140614536047788,0.016765115118303805,0.06676241581896625,,0.0,81.12601772020491,0.0,32.013892810532155,,2.5436605493717304,0.0,-10.46711487871037,,
SOX,20.0,2.0,102,0,0,0,102,0.09216733918749255,0.6140614536047788,0.016765115118303805,0.06676241581896625,,0.0,81.12601772020491,0.0,32.013892810532155,,2.5436605493717304,0.0,-10.46711487871037,,
SOX,50.0,2.0,102,0,0,0,102,0.09216733918749255,0.6140614536047788,0.016765115118303805,0.06676241581896625,,0.0,81.12601772020491,0.0,32.013892810532155,,2.5436605493717304,0.0,-10.46711487871037,,
