forecast_base_date,date,index,ticker,horizon_trading_days,actual_close,predicted_close,naive_previous_close,actual_log_return,predicted_log_return,absolute_error,pct_error,target_open,target_raw_close,predicted_return,actual_close_to_close_return,actual_open_to_close_return,signal,trade_cost,strategy_close_to_close_return,strategy_open_to_close_return,benchmark_close_to_close_return,benchmark_open_to_close_return,strategy_close_to_close_equity,strategy_open_to_close_equity,benchmark_close_to_close_equity,benchmark_open_to_close_equity,threshold_bps,cost_bps
2025-12-31,2026-01-02,SP500,^GSPC,1,6858.47,6850.9624,6845.5,0.0018929199,0.0007977104,7.5078125,0.10946774,6878.10986328125,6858.47021484375,0.0007979548608576525,0.0018946753341611,-0.002855384521021742,0,0.0,0.0,-0.0,0.0018946753341611,-0.002855384521021742,1.0,1.0,1.001894675334161,0.9971446154789783,15.0,2.0
2026-01-02,2026-01-05,SP500,^GSPC,1,6902.05,6864.008,6858.47,0.006333991,0.0008070639,38.041992,0.5511695,6892.18994140625,6902.0498046875,0.000807468721157889,0.0063541868667500445,0.0014305849613944766,0,0.0,0.0,0.0,0.0063541868667500445,0.0014305849613944766,1.0,1.0,1.0082609013220363,0.9985711155702179,15.0,2.0
2026-01-05,2026-01-06,SP500,^GSPC,1,6944.82,6907.737,6902.05,0.0061776163,0.00082359224,37.083008,0.5339664,6908.02978515625,6944.81982421875,0.0008239580994051643,0.006196709673212952,0.005325692014465977,0,0.0,0.0,0.0,0.006196709673212952,0.005325692014465977,1.0,1.0,1.0145088014023809,1.0038891977862867,15.0,2.0
2026-01-06,2026-01-07,SP500,^GSPC,1,6920.93,6950.644,6944.82,-0.0034458332,0.00083826494,29.713867,0.42933342,6945.06982421875,6920.93017578125,0.0008386106479363331,-0.0034399739662078765,-0.0034757963632446875,0,0.0,-0.0,-0.0,-0.0034399739662078765,-0.0034757963632446875,1.0,1.0,1.0110189175370679,1.0003998833635206,15.0,2.0
2026-01-07,2026-01-08,SP500,^GSPC,1,6921.46,6926.8706,6920.93,7.6529424e-05,0.0008579505,5.4106445,0.07817201,6914.10986328125,6921.4599609375,0.0008583528514232164,7.65793036485718e-05,0.0010630576895058752,0,0.0,0.0,0.0,7.65793036485718e-05,0.0010630576895058752,1.0,1.0,1.0110963406617484,1.001463366152111,15.0,2.0
2026-01-08,2026-01-09,SP500,^GSPC,1,6966.2793,6927.5146,6921.46,0.006454573,0.00087440526,38.76465,0.5564613,6927.830078125,6966.27978515625,0.0008747576378393962,0.0064754112571625555,0.005550036100431699,0,0.0,0.0,0.0,0.0064754112571625555,0.005550036100431699,1.0,1.0,1.0176436052881452,1.007021523987515,15.0,2.0
2026-01-09,2026-01-12,SP500,^GSPC,1,6977.27,6972.383,6966.28,0.0015763727,0.0008756636,4.887207,0.07004469,6944.1201171875,6977.27001953125,0.0008760773325218185,0.0015775995222702122,0.004773808889293241,0,0.0,0.0,0.0,0.0015775995222702122,0.004773808889293241,1.0,1.0,1.019249039353689,1.0118288522904364,15.0,2.0
2026-01-12,2026-01-13,SP500,^GSPC,1,6963.74,6983.369,6977.27,-0.0019410005,0.0008737872,19.628906,0.28187305,6977.41015625,6963.740234375,0.000874124120178621,-0.0019391538524380358,-0.0019591684548966315,0,0.0,-0.0,-0.0,-0.0019391538524380358,-0.0019591684548966315,1.0,1.0,1.0172725586524325,1.0098465091212747,15.0,2.0
2026-01-13,2026-01-14,SP500,^GSPC,1,6926.6,6969.85,6963.74,-0.005347637,0.000876995,43.25,0.6244045,6937.41015625,6926.60009765625,0.0008774020856610054,-0.0053333409920530706,-0.0015582268238834018,0,0.0,-0.0,-0.0,-0.0053333409920530706,-0.0015582268238834018,1.0,1.0,1.0118470972152807,1.008272939202757,15.0,2.0
2026-01-14,2026-01-15,SP500,^GSPC,1,6944.47,6932.799,6926.6,0.0025766052,0.0008945365,11.671387,0.16806735,6969.4599609375,6944.47021484375,0.0008949556781103762,0.002579909335027164,-0.0035856072398453565,0,0.0,0.0,-0.0,0.002579909335027164,-0.0035856072398453565,1.0,1.0,1.0144575709870065,1.0046576684522115,15.0,2.0
2026-01-15,2026-01-16,SP500,^GSPC,1,6940.01,6950.72,6944.47,-0.00064250594,0.00089958345,10.710449,0.15432902,6960.5400390625,6940.009765625,0.0008999966880121057,-0.000642237636565457,-0.002949523071813953,0,0.0,-0.0,-0.0,-0.000642237636565457,-0.002949523071813953,1.0,1.0,1.01380604815422,1.0016944074798368,15.0,2.0
2026-01-16,2026-01-20,SP500,^GSPC,1,6796.86,6946.289,6940.01,-0.020842487,0.00090444146,149.4292,2.1985035,6865.240234375,6796.85986328125,0.0009047537395479033,-0.020626771431165203,-0.009960375567247048,0,0.0,-0.0,-0.0,-0.020626771431165203,-0.009960375567247048,1.0,1.0,0.9928945025234099,0.9917171549777267,15.0,2.0
2026-01-20,2026-01-21,SP500,^GSPC,1,6875.62,6803.334,6796.86,0.011521114,0.00095199945,72.28613,1.0513397,6810.7099609375,6875.6201171875,0.0009524986537901015,0.011587703733783039,0.009530600572082548,0,0.0,0.0,0.0,0.011587703733783039,0.009530600572082548,1.0,1.0,1.0043998698575531,1.0011688150623015,15.0,2.0
2026-01-21,2026-01-22,SP500,^GSPC,1,6913.3506,6882.224,6875.62,0.0054725595,0.0009599546,31.126465,0.45023704,6914.43994140625,6913.35009765625,0.0009604951989785615,0.005487592391667961,-0.0001576185141870523,0,0.0,0.0,-0.0,0.005487592391667961,-0.0001576185141870523,1.0,1.0,1.0099116069415757,1.001011012321221,15.0,2.0
2026-01-22,2026-01-23,SP500,^GSPC,1,6915.61,6919.8936,6913.35,0.00032681847,0.00094608346,4.2836914,0.06194235,6907.85009765625,6915.60986328125,0.0009465165223805361,0.0003269037442048539,0.0011233257113718587,0,0.0,0.0,0.0,0.0003269037442048539,0.0011233257113718587,1.0,1.0,1.0102417508272008,1.0021354737287278,15.0,2.0
2026-01-23,2026-01-26,SP500,^GSPC,1,6950.23,6922.037,6915.61,0.0049935863,0.00092890114,28.192871,0.4056394,6923.22998046875,6950.22998046875,0.0009293467965949542,0.005006065986948416,0.003899913779575437,0,0.0,0.0,0.0,0.005006065986948416,0.003899913779575437,1.0,1.0,1.015299087694612,1.006043715671724,15.0,2.0
