Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,365.9029235839844,366.0799865722656,368.260009765625,364.0199890136719,364.0199890136719,0
2010-01-05,366.2427978515625,366.4200134277344,369.0899963378906,363.75,366.6600036621094,0
2010-01-06,366.1628112792969,366.3399963378906,369.45001220703125,365.1300048828125,366.4100036621094,0
2010-01-07,362.124755859375,362.29998779296875,365.2799987792969,360.0799865722656,364.7699890136719,0
2010-01-08,367.5021667480469,367.67999267578125,367.9700012207031,361.5400085449219,361.79998779296875,0
2010-01-11,366.44268798828125,366.6199951171875,370.9100036621094,363.3399963378906,369.8599853515625,0
2010-01-12,353.2790832519531,353.45001220703125,363.54998779296875,350.7300109863281,363.45001220703125,0
2010-01-13,358.91632080078125,359.0899963378906,360.0299987792969,348.6000061035156,355.44000244140625,0
2010-01-14,356.787353515625,356.9599914550781,359.0299987792969,354.45001220703125,358.1199951171875,0
2010-01-15,344.5033264160156,344.6700134277344,356.3900146484375,344.5,356.05999755859375,0
2010-01-19,350.6703186035156,350.8399963378906,351.489990234375,345.739990234375,345.739990234375,0
2010-01-20,349.63079833984375,349.79998779296875,350.760009765625,345.54998779296875,349.8999938964844,0
2010-01-21,347.7417297363281,347.9100036621094,355.7300109863281,345.44000244140625,351.0,0
2010-01-22,329.33062744140625,329.489990234375,344.489990234375,328.67999267578125,344.4100036621094,0
2010-01-25,334.01837158203125,334.17999267578125,337.1700134277344,331.5400085449219,332.3399963378906,0
2010-01-26,333.3586730957031,333.5199890136719,338.1700134277344,331.44000244140625,333.6300048828125,0
2010-01-27,337.28680419921875,337.45001220703125,338.94000244140625,330.55999755859375,334.3800048828125,0
2010-01-28,327.09173583984375,327.25,338.9100036621094,322.8800048828125,338.2799987792969,0
2010-01-29,315.9171447753906,316.07000732421875,331.3299865722656,313.0899963378906,328.3900146484375,0
2010-02-01,325.5624694824219,325.7200012207031,325.9100036621094,317.3500061035156,317.3500061035156,0
2010-02-02,328.5410461425781,328.70001220703125,329.9599914550781,323.92999267578125,325.3900146484375,0
2010-02-03,327.59149169921875,327.75,330.25,325.760009765625,326.989990234375,0
2010-02-04,312.37884521484375,312.5299987792969,324.260009765625,312.489990234375,324.1400146484375,0
2010-02-05,319.8552551269531,320.010009765625,320.3800048828125,310.3399963378906,313.42999267578125,0
2010-02-08,318.7057800292969,318.8599853515625,325.3299865722656,316.44000244140625,319.95001220703125,0
2010-02-09,323.25360107421875,323.4100036621094,326.5899963378906,319.3699951171875,322.45001220703125,0
2010-02-10,323.24359130859375,323.3999938964844,325.5,318.5299987792969,322.57000732421875,0
2010-02-11,330.8799133300781,331.0400085449219,332.0199890136719,320.7200012207031,323.5299987792969,0
2010-02-12,332.67901611328125,332.8399963378906,336.7200012207031,324.510009765625,327.9800109863281,0
2010-02-16,340.79510498046875,340.9599914550781,341.4599914550781,334.7200012207031,335.6499938964844,0
2010-02-17,341.37481689453125,341.5400085449219,343.8500061035156,338.4800109863281,343.260009765625,0
2010-02-18,342.3543395996094,342.5199890136719,342.92999267578125,337.4800109863281,340.1499938964844,0
2010-02-19,343.3738708496094,343.5400085449219,345.6700134277344,339.3800048828125,341.739990234375,0
2010-02-22,342.3843078613281,342.54998779296875,345.9700012207031,341.44000244140625,345.04998779296875,0
2010-02-23,332.7090148925781,332.8699951171875,341.2900085449219,330.7099914550781,341.2900085449219,0
2010-02-24,339.10589599609375,339.2699890136719,341.5400085449219,334.44000244140625,334.44000244140625,0
2010-02-25,338.2263488769531,338.3900146484375,338.79998779296875,329.92999267578125,334.6099853515625,0
2010-02-26,338.69610595703125,338.8599853515625,339.20001220703125,333.75,338.5400085449219,0
